ID,Yakut Context,Yakut Question,Yakut Options,Yakut Answer,English Context,English Question,English Options,English Answer,corrected yakut context,corrected yakut question,corrected yakut options,corrected yakut answer
1,"Куоскалар күн аайы элбэх чаас утуйаллар, үксүн сылаас сиргэ.",Ханнык харамай сылаас сиргэ элбэхтик утуйарый?,"Ыт, Куоска, Балык, Көтөр",Куоска,"Cats sleep for many hours each day, usually in warm spots.",Which animal sleeps a lot in warm places?,"Dog, Cat, Fish, Bird",Cat,"Куоскалар күн аайы элбэх чаас утуйаллар, үксүн сылаас сиргэ.",Ханнык кыыл сылаас сиргэ элбэхтик утуйарый?,"Ыт, Куоска, Балык, Көтөр",Куоска
2,"Ардах былыттан түһэн, сири уулаах оҥорор.",Былыттан туох түһэрий?,"Хаар, Самыыр, Туман, Тыал",Самыыр,Rain falls from the clouds and makes the ground wet.,What falls from clouds?,"Snow, Rain, Fog, Wind",Rain,"Ардах былыттан түһэн, сири инчэҕэй оҥорор.",Былыттан туох түһэрий?,"Хаар, Ардах, Туман, Тыал",Ардах
3,Поездтар суолларынан айанныыллар уонна пассажирдары куораттарынан таһаллар.,Трассаларга туох сүүрэрий?,"Массыына, Автобус, Поезд, Велосипед",Поезд,Trains travel on tracks and carry passengers across cities.,What runs on tracks?,"Car, Bus, Train, Bike",Train,Поездтар тимир суолларынан айанныыллар уонна пассажирдары куораттарынан таһаллар.,Тимир суолга туох айанныырый?,"Массыына, Автобус, Поезд, Велосипед",Поезд
4,"Яблоколар кыһыл, саһыл, саргы буолуохтарын сөп, уонна маска үүнэллэр.",Ханнык фрукта маска үүнэрий?,"Дьаабылака, Банан, Виноград, Дыня",Дьаабылака,"Apples can be red, green, or yellow, and grow on trees.",Which fruit grows on trees?,"Apple, Banana, Grape, Melon",Apple,"Яблоколар кыһыл, саһыл, саргы буолуохтарын сөп, уонна маска үүнэллэр.",Ханнык фрукта маска үүнэрий?,"Дьаабылака, Банан, Виноград, Дыня",Дьаабылака
5,Күн күнүс биһиэхэ сырдыгы уонна сылааһы биэрэр.,Күнүс сырдыгы туох биэрэрий?,"Күн, Ыйдаҥа, Лаампа, Уот",Күн,The sun gives us light and heat during the daytime.,What gives light in the daytime?,"Sun, Moon, Lamp, Fire",Sun,Күн күнүс биһиэхэ сырдыгы уонна сылааһы биэрэр.,Күнүс сырдыгы туох биэрэрий?,"Күн, Ый, Лаампа, Уот",Күн
6,Кустар сымыыттарын уурарга уонна оҕолорун иитэргэ уйа тутталлар.,Кустар ханна сымыыттыылларый?,"Хайа хаспаҕа, Уйа, Мас, Хайаҕас",Уйа,Birds build nests to lay their eggs and raise chicks.,Where do birds lay eggs?,"Cave, Nest, Tree, Hole",Nest,Кустар сымыыттарын уурарга уонна оҕолорун иитэргэ уйа тутталлар.,Кустар ханна сымыыттыылларый?,"Хайа хаспаҕа, Уйа, Мас, Дьаама",Уйа
7,Үүт маҥан буолар уонна ынахтан уонна куобахтан тахсар.,Ынахтан туох тахсарый?,"Уу, Сок, Үүт, Арыы",Үүт,Milk is white and comes from cows and goats.,What comes from cows?,"Water, Juice, Milk, Oil",Milk,Үүт маҥан буолар уонна ынахтан уонна куобахтан тахсар.,Ынахтан туох тахсарый?,"Уу, Сок, Үүт, Арыы",Үүт
8,Арыылар уйаларга нектары хомуйан арыы оҥороллор.,Арыылар тугу оҥороллоруй?,"Үүт, Саахар, Воск, мүөт",мүөт,Bees collect nectar and make honey in hives.,What do bees make?,"Milk, Sugar, Wax, Honey",Honey,Арыылар уйаларга нектары хомуйан арыы оҥороллор.,Тигээйилэр тугу оҥороллоруй?,"Үүт, Саахар, Воск, мүөт",мүөт
9,Балыктар ууга сөтүөлүүллэр уонна жабердарынан тыыналлар.,Туох жаберынан тыынар?,"Көтөр, Баҕа, Балык, Моҕой",Балык,Fish swim in water and breathe through gills.,What breathes through gills?,"Bird, Frog, Fish, Snake",Fish,Балыктар ууга сөтүөлүүллэр уонна жабердарынан тыыналлар.,Туох хайыынан тыынар?,"Көтөр, Баҕа, Балык, Моҕой",Балык
10,Күһүн тымныйдаҕына мастан сэбирдэхтэрэ түһэллэр.,Күһүн мастан туох түһэрий?,"Хатырык, Сэбирдэхтэр, Хайалар, Орехтар",Сэбирдэхтэр,Leaves fall from trees during autumn when it gets cooler.,What falls from trees in autumn?,"Bark, Leaves, Rocks, Nuts",Leaves,Күһүн тымныйдаҕына мастан сэбирдэхтэрэ түһэллэр.,Күһүн мастан туох түһэрий?,"Хатырык, Сэбирдэхтэр, Хайалар, Орехтар",Сэбирдэхтэр
11,Ый түүн көстөр уонна төгүрүк быһыылаах.,Төгүрүк уонна түүн көрүллэр тугуй?,"Күн, Сулус, Ыйдаҥа, Былыт",Ыйдаҥа,The moon is visible at night and has a round shape.,What is round and seen at night?,"Sun, Star, Moon, Cloud",Moon,Ый түүн көстөр уонна төгүрүк быһыылаах.,Төгүрүк уонна түүн көстөр тугуй?,"Күн, Сулус, Ый, Былыт",Ый
12,Хаамар кэмҥэ атахха харыстыыр ​​туһугар атах таҥаһын кэтэр.,Атаххын туох харыстыырый?,"Бэрчээккэлэр, Бачыыҥкалар, Наскылар, Шляпалар",Бачыыҥкалар,Shoes are worn on feet to protect them while walking.,What protects your feet?,"Gloves, Shoes, Socks, Hats",Shoes,Хаамар кэмҥэ атахха харыстыыр ​​туһугар атах таҥаһын кэтэр.,Атаххын туох харыстыырый?,"Бэрчээккэлэр, Бачыыҥкалар, Наскылар, Сэлээппэлэр",Бачыыҥкалар
13,Муус сылыйдаҕына ууллар уонна ууга кубулуйар.,Муус туох буоларый?,"Салгыс, Хаар, Паар, Уу",Уу,Ice melts when it gets warm and turns into water.,What does ice become?,"Air, Snow, Steam, Water",Water,Муус сылыйдаҕына ууллар уонна ууга кубулуйар.,Муус туох буоларый?,"Салгын, Хаар, Паар, Уу",Уу
14,"Баҕалар сиргэ да, ууга да ыстанан олоруохтарын сөп.",Ханнык харамай ууга уонна сиргэ олороруй?,"Балык, Баҕа, Көтөр, Куоска",Баҕа,Frogs can jump and live both on land and in water.,Which animal lives in water and on land?,"Fish, Frog, Bird, Cat",Frog,"Баҕалар сиргэ да, ууга да ыстанан олоруохтарын сөп.",Ханнык харамай ууга уонна сиргэ олороруй?,"Балык, Баҕа, Көтөр, Куоска",Баҕа
15,Арыы үүттэн оҥоһуллар уонна ас астыырга туттуллар.,Үүттэн тугу оҥороллоруй?,"Сок, Арыы, Арыы, Бурдук",Арыы,Butter is made from milk and is used in cooking.,What is made from milk?,"Juice, Butter, Oil, Flour",Butter,Сиикэй Арыы үүттэн оҥоһуллар уонна ас астыырга туттуллар.,Үүттэн тугу оҥороллоруй?,"Сок, Сиикэй Арыы, Мас Арыы, Бурдук",Сиикэй Арыы
16,Креслолар олорорго туттуллар уонна үксүгэр түөрт атахтаах буолаллар.,Туохха олоробут?,"Остуол, Орон, Олоппос, Саах",Олоппос,Chairs are used for sitting and often have four legs.,What do we sit on?,"Table, Bed, Chair, Stool",Chair,Креслолар олорорго туттуллар уонна үксүгэр түөрт атахтаах буолаллар.,Туохха олоробут?,"Остуол, Орон, Олоппос, Табуретка",Олоппос
17,Чаһылар бириэмэни көрдөрөллөр уонна хамсыыр илиилээхтэр.,Кэми туох көрдөрөрүй?,"Көр, Халандаар, Чаһыы, Телефон",Чаһыы,Clocks show the time and have hands that move.,What shows the time?,"Watch, Calendar, Clock, Phone",Clock,Истиэнэ Чаһылар бириэмэни көрдөрөллөр уонна хамсыыр илиилээхтэр.,Бириэмэни туох көрдөрөрүй?,"Илии Чаһыы, Халандаар, Истиэнэ Чаһыы, Телефон",Истиэнэ Чаһыы
18,Массыыналар мотуордаахтар уонна суолга айанныыллар.,Суолга туох айанныырый?,"Самолет, Массыына, Тыы, Поезд",Массыына,Cars have engines and drive on roads.,What drives on roads?,"Plane, Car, Boat, Train",Car,Массыыналар мотуордаахтар уонна суолга айанныыллар.,Суолга туох айанныырый?,"Самолет, Массыына, Тыы, Поезд",Массыына
19,"Бананнар диэн уһун, үрүҥ өҥнөөх фрукталар, үүнэллэр.",Ханнык фрукта саһархай уонна уһун буоларый?,"Дьаабылака, Банан, Груша, Манго",Банан,"Bananas are long, yellow fruits that grow in bunches.",Which fruit is yellow and long?,"Apple, Banana, Pear, Mango",Banana,"Бананнар диэн уһун, саһархай өҥнөөх фрукталар, үүнэллэр.",Ханнык фрукта саһархай уонна уһун буоларый?,"Дьаабылака, Банан, Груша, Манго",Банан
20,Харандаас суруйарга туттуллар уонна үрдүгэр ластиктаах.,Суруйарга туох туттулларый?,"Уруучука, Мел, Харандаас, Суокка",Харандаас,Pencils are used to write and have erasers on top.,What is used for writing?,"Pen, Chalk, Pencil, Brush",Pencil,Харандаас суруйарга туттуллар уонна үрдүгэр ластиктаах.,Суруйарга туох туттулларый?,"Уруучука, Мел, Харандаас, Суокка",Харандаас
21,Ыраас күннэргэ халлаан күөх курдук көстөр.,Халлаан өҥнөөх?,"Халлаан күөх, От күөх, Кыһыл, Үрүҥ",Халлаан күөх,The sky appears blue on clear sunny days.,What color is the sky?,"Blue, Green, Red, White",Blue,Ыраас күннэргэ халлаан күөх курдук көстөр.,Халлаан туох өҥнөөҕүй?,"Халлаан күөх, От күөх, Кыһыл, Үрүҥ",Халлаан күөх
22,Хайалар үрдүктэр уонна үксүгэр хаарынан бүрүллүбүттэр.,Үрдүк уонна хаардаах диэн тугуй?,"Томтор, Таас, Хайа, Мас",Хайа,Mountains are tall and often covered with snow.,What is tall and snowy?,"Hill, Rock, Mountain, Tree",Mountain,Хайалар үрдүктэр уонна үксүгэр хаарынан бүрүллүбүттэр.,Үрдүк уонна хаардаах диэн тугуй?,"Томтор, Таас, Хайа, Мас",Хайа
23,"Ынах оту сиир, фермаҕа олорор.",Ханнык харамай оту сиирий?,"Ынах, Ыт, Баабыр, Бөрө",Ынах,Cows eat grass and live on farms.,What animal eats grass?,"Cow, Dog, Tiger, Wolf",Cow,"Ынах оту сиир, фермаҕа олорор.",Ханнык харамай оту сиирий?,"Ынах, Ыт, Баабыр, Бөрө",Ынах
24,Остуол диэн аһыырга эбэтэр үлэлииргэ туттуллар тэҥ сир.,Туох тэҥ сирдээх буолуой?,"Олоппос, Эркин, Остуол, Чааскы",Остуол,Tables are flat surfaces used for eating or working.,What has a flat surface?,"Chair, Wall, Table, Cup",Table,Остуол диэн аһыырга эбэтэр үлэлииргэ туттуллар хаптаҕай сир.,Туох хаптаҕай буоларый?,"Олоппос, Эркин, Остуол, Чааскы",Остуол
25,Ыттар үрэр уонна кутуруктарын хамсатар доҕордуу харамайдар.,Ханнык харамай үрэрий?,"Куоска, Ыт, Козел, Кус",Ыт,Dogs are friendly animals that bark and wag their tails.,What animal barks?,"Cat, Dog, Goat, Duck",Dog,Ыттар үрэр уонна кутуруктарын хамсатар доҕордуу харамайдар.,Ханнык харамай үрэрий?,"Куоска, Ыт, Козел, Кус",Ыт
26,Мыыла илиини суунарга уонна микробтары өлөрөргө туттуллар.,Илиини суунарга тугу тутталларый?,"Арыы, Крем, Мыыла, Порошок",Мыыла,Soap is used for washing hands and killing germs.,What is used to wash hands?,"Oil, Cream, Soap, Powder",Soap,Мыыла илиини суунарга уонна микробтары өлөрөргө туттуллар.,Илиини суунарга тугу тутталларый?,"Арыы, Крем, Мыыла, Порошок",Мыыла
27,Түүн халлааҥҥа сулустар чаҕылыйаллар.,Түүн туох тыаһыыр?,"Ыйдаҥа, Сулус, Самолет, Былыт",Сулус,Stars twinkle in the sky during the night.,What twinkles at night?,"Moon, Star, Plane, Cloud",Star,Түүн халлааҥҥа сулустар чаҕылыйаллар.,Түүн туох чаҕылыйарый?,"Ый, Сулус, Самолет, Былыт",Сулус
28,Лимон диэн сымнаҕас амтаннаах үрүҥ фрукталар.,Ханнык фрукта үрүҥ уонна сымнаҕас буоларый?,"Лимон, Дьаабылака, Апельсин, Виноград",Лимон,Lemons are yellow fruits with a sour taste.,Which fruit is yellow and sour?,"Lemon, Apple, Orange, Grape",Lemon,Лимон диэн аһыы амтаннаах саһархай фрукталар.,Ханнык фрукта саһархай уонна аһыы буоларый?,"Лимон, Дьаабылака, Апельсин, Виноград",Лимон
29,Кинигэлэр ааҕарга бэчээттэммит тыллардаах страницалардаахтар.,Туох страницалаах уонна тыллардаах буолуой?,"Дьааһык, Кинигэ, Суумка, Хаартыска",Кинигэ,Books have pages with printed words to read.,What has pages and words?,"Box, Book, Bag, Map",Book,Кинигэлэр ааҕарга бэчээттэммит тыллардаах страницалардаахтар.,Туох страницалаах уонна тыллардаах буолуой?,"Дьааһык, Кинигэ, Суумка, Хаартыска",Кинигэ
30,Түүнүн утуйарбытыгар бүрүө сылытар.,Ороҥҥо туох эйигин сылытар?,"Сыттын, Илиис, Сабыы, Соттор",Сабыы,Blankets keep us warm when we sleep at night.,What keeps you warm in bed?,"Pillow, Sheet, Blanket, Towel",Blanket,Түүнүн утуйарбытыгар суорҕан сылытар.,Ороҥҥо туох эйигин сылытар?,"Сыттын, Илиис, суорҕан, Соттор",суорҕан
31,Океан олус улахан уонна туустаах уулаах.,Туустаах уу туохха баарый?,"Күөл, Ньамах, Өрүс, Акыйаан",Акыйаан,The ocean is very large and contains salty water.,What contains salty water?,"Lake, Pond, River, Ocean",Ocean,Океан олус улахан уонна туустаах уулаах.,Туустаах уу туохха баарый?,"Күөл, Ньамах, Өрүс, Акыйаан",Акыйаан
32,Тыал күүстээх буоллаҕына халлааҥҥа көтөр.,Тыалга туох көтөрүй?,"Самолет, Баллон, Көтөр моҕой, Көтөр",Көтөр моҕой,A kite flies in the sky when the wind is strong.,What flies in the wind?,"Plane, Balloon, Kite, Bird",Kite,Тыал күүстээх буоллаҕына халлааҥҥа көтөр.,Тыалга туох көтөрүй?,"Самолет, Баллон, Көтөр змей, Көтөр",Көтөр змей
33,Оскуола бүтүүтүгэр куолакал тыаһыыр.,Оскуолаҕа туох тыаһыыр?,"Аймалҕан, Колокольчик, Иһиир, Чаһыы",Колокольчик,The bell rings at the end of school.,What rings at school?,"Alarm, Bell, Whistle, Clock",Bell,Оскуола бүтүүтүгэр Чуораан тыаһыыр.,Оскуолаҕа туох тыаһыыр?,"Аймалҕан, Чуораан, Иһиир, Чаһыы",Чуораан
34,"Уот итии буолан, түргэнник умайар.",Итии уонна умайар диэн тугуй?,"Муус, Уу, Уот, Хаар",Уот,Fire is hot and can burn things quickly.,What is hot and burns?,"Ice, Water, Fire, Snow",Fire,"Уот итии буолан, түргэнник умайар.",Итии уонна умайар диэн тугуй?,"Муус, Уу, Уот, Хаар",Уот
35,От күөх буолан пааркаларга уонна саадтарга үүнэр.,Садтарга туох үүнэрий уонна күөх буоларый?,"Таас, Буор, Мас, От",От,Grass is green and grows in parks and gardens.,What grows in gardens and is green?,"Rock, Soil, Tree, Grass",Grass,От күөх буолан пааркаларга уонна саадтарга үүнэр.,Садтарга туох үүнэрий уонна күөх буоларый?,"Таас, Буор, Мас, От",От
36,"Көрдөххүнэ, зеркало эн дьүһүҥҥүн көрдөрөр.",Эн толкуйгун туох көрдөрөрүй?,"Өстүөкүлэ, ТВ, Сиэркилэ, Эркин",Сиэркилэ,A mirror shows your reflection when you look at it.,What shows your reflection?,"Glass, TV, Mirror, Wall",Mirror,"Көрдөххүнэ, сиэркилэ эн күлүккүн көрдөрөр.",Эн күлүккүн туох көрдөрөрүй?,"Өстүөкүлэ, ТВ, Сиэркилэ, Эркин",Сиэркилэ
37,Велосипедтар икки көлүөһэлээхтэр уонна педальынан үлэлииллэр.,Туох икки көлүөһэлээхий?,"Массыына, Велосипед, Автобус, Ван",Велосипед,Bicycles have two wheels and are powered by pedaling.,What has two wheels?,"Car, Bike, Bus, Van",Bike,Велосипедтар икки көлүөһэлээхтэр уонна педальынан үлэлииллэр.,Туох икки көлүөһэлээхий?,"Массыына, Велосипед, Автобус, Микроавтобус",Велосипед
38,Атах таҥаһын шнуроктара атаххын кытаанахтык тутар.,Атах таҥаһын туох баайарый?,"Ремень, Пряжка, Шнурок, Килиэй",Шнурок,Shoelaces keep shoes tight on your feet.,What ties your shoes?,"Strap, Buckle, Shoelace, Glue",Shoelace,Атах таҥаһын шнуроктара атаххын кытаанахтык тутар.,Атах таҥаһын туох баайарый?,"Кур, Пряжка, Шнурок, Килиэй",Шнурок
39,Куорат устун оптуобустар элбэх пассажиры таһаллар.,Куоракка дьону туох илдьэ сылдьарый?,"Велосипед, Такси, Автобус, Ван",Автобус,Buses carry many passengers through the city.,What carries people in the city?,"Bike, Taxi, Bus, Van",Bus,Куорат устун оптуобустар элбэх пассажиры таһаллар.,Куоракка дьону туох таһарый?,"Велосипед, Такси, Автобус, Микроавтобус",Автобус
40,Уу үрдүк температураҕа оргуйар.,Сылыттахха туох буһарый?,"Арыы, Сок, Уу, Үүт",Уу,Water boils at a high temperature.,What boils when heated?,"Oil, Juice, Water, Milk",Water,Уу үрдүк температураҕа оргуйар.,Сылыттахха туох оргуйарый?,"Арыы, Сок, Уу, Үүт",Уу
41,Хараҥа хосторго лаампалар сырдыгы биэрэллэр.,Дьиэ иһигэр сырдыгы туох биэрэрий?,"Фанат, Остуора, Лаампа, Спикер",Лаампа,Lamps give light in dark rooms.,What gives light indoors?,"Fan, Curtain, Lamp, Speaker",Lamp,Хараҥа хосторго лаампалар сырдыгы биэрэллэр.,Дьиэ иһигэр сырдыгы туох биэрэрий?,"Вентилятор, Остуора, Лаампа, Спикер",Лаампа
42,Күн уотун хааччахтыыр туһугар төбөҕө шляпа кэтиллэр.,Төбөҕө тугу кэтэр?,"Атах таҥаһа, Шляпа, Перчатка, Ырбаахы",Шляпа,Hats are worn on the head to block sunlight.,What is worn on the head?,"Shoe, Hat, Glove, Shirt",Hat,Күн уотун хааччахтыыр туһугар төбөҕө шляпа кэтиллэр.,Төбөҕө туох кэтэллэрий?,"Атах таҥаһа, Шляпа, Перчатка, Ырбаахы",Шляпа
43,Сымыыттары куурусса уурар уонна рецептэргэ тутталлар.,Кууруссалар тугу ыһалларый?,"Сымыыттар, Таастар, Кукуруза, Сиэмэ",Сымыыттар,Eggs are laid by chickens and used in recipes.,What do chickens lay?,"Eggs, Stones, Corn, Seeds",Eggs,Сымыыттары куурусса уурар уонна рецептэргэ тутталлар.,Кууруссалар тугу ууралларый?,"Сымыыттар, Таастар, Кукуруза, Сиэмэ",Сымыыттар
44,Кыһын хаар түһэн сири бүрүйэр.,Кыьын туох туьэр?,"Самыыр, Сэбирдэхтэр, Хаар, Күл",Хаар,Snow falls in winter and covers the ground.,What falls in winter?,"Rain, Leaves, Snow, Ash",Snow,Кыһын хаар түһэн сири бүрүйэр.,Кыһын туох түһэрий?,"Самыыр, Сэбирдэхтэр, Хаар, Күл",Хаар
45,Мастар силистэрэ сиргэ дириҥник киирэр.,Туох дириҥ силистээ5ий?,"Дьиэ, Мас, Балаакка, Полюс",Мас,Trees have roots that go deep into the soil.,What has deep roots?,"House, Tree, Tent, Pole",Tree,Мастар силистэрэ сиргэ дириҥник киирэр.,Туох дириҥ силистээҕий?,"Дьиэ, Мас, Балаакка, Полюс",Мас
46,Хайалар кытаанахтар уонна сиргэ бааллар.,Туох кытаанах уонна сиргэ баарый?,"Таас, Сэбирдэх, Быа, Мээчик",Таас,Rocks are hard and found on the ground.,What is hard and on the ground?,"Rock, Leaf, Rope, Ball",Rock,Хайалар кытаанахтар уонна сиргэ тураллар.,Туох кытаанаҕый уонна сиргэ турарый?,"Таас, Сэбирдэх, Быа, Мээчик",Таас
47,Вентилятордар салгыны биэрэллэр уонна дьону тымныталлар.,Эйигин сойутаары салгыны туох үрэрий?,"Сылытар тэрил, Фанат, Оһох, Лаампа",Фанат,Fans blow air and keep people cool.,What blows air to cool you?,"Heater, Fan, Oven, Lamp",Fan,Вентилятордар салгыны биэрэллэр уонна дьону тымныталлар.,Эйигин сойутаары салгыны туох үрэрий?,"Сылытар тэрил, Вентилятор, Оһох, Лаампа",Вентилятор
48,Печенье ыһаарыламмыт уонна сииргэ минньигэс.,Минньигэс ас диэн тугуй?,"Кэмпиэт, Куки, Тост, Фрукта",Куки,Cookies are baked and sweet to eat.,What is a sweet baked treat?,"Candy, Cookie, Toast, Fruit",Cookie,бэчиэнньэ духовкаҕа буһар уонна сииргэ минньигэс.,Минньигэс уонна духовкаҕа буспут ас диэн тугуй?,"Кэмпиэт, бэчиэнньэ, Тост, Фрукта",бэчиэнньэ
49,Холодильник аһы тымныы уонна сибиэһэй оҥорор.,Аһы туох тымнытар?,"Микроволновка, Оһох, Холодильник, Тостер",Холодильник,The fridge keeps food cold and fresh.,What keeps food cold?,"Microwave, Oven, Fridge, Toaster",Fridge,Холодильник аһы тымныы уонна сибиэһэй оҥорор.,Аһы туох тымнытар?,"Микроволновка, Оһох, Холодильник, Тостер",Холодильник
50,Быһах диэн быһыыга туттуллар кытаанах тэриллэр.,Ханнык тэрил быһарга сытыы буоларый?,"Хамыйах, Быһах, Тэриэлкэ, Хабах",Быһах,Knives are sharp tools used for cutting.,What tool is sharp for cutting?,"Spoon, Knife, Plate, Bowl",Knife,Быһах диэн быһыыга туттуллар кытаанах тэриллэр.,Ханнык тэрил быһарга сытыы буоларый?,"Хамыйах, Быһах, Тэриэлкэ, Хабах",Быһах
51,Төлөпүөн дьону ыраахтан кэпсэтэр кыах биэрэр.,Дьон ыраахха тугунан кэпсэтэллэрий?,"Белл, Буукуба, Телефон, Радио",Телефон,The telephone lets people talk over long distances.,What do people use to talk far away?,"Bell, Letter, Phone, Radio",Phone,Төлөпүөн дьону ыраахтан кэпсэтэр кыах биэрэр.,Дьон ыраахха тугунан кэпсэтэллэрий?,"Чуораан, Буукуба, Төлөпүөн, Радио",Төлөпүөн
