ID,Yakut Context,Yakut Question,Yakut Options,Yakut Answer,English Context,English Question,English Options,English Answer,corrected yakut context,corrected yakut question,corrected yakut options,corrected yakut answer
52,Пауктар аһылыктарын тутар туһугар ситимнэрин эргитэллэр.,Туох ситим эргийэрий?,"Тигээйи, Муравей, Паук, Үөн",Паук,Spiders spin webs to catch their food.,What spins a web?,"Bee, Ant, Spider, Worm",Spider,ооҕуй оҕустар аһылыктарын тутар туһугар ситимнэрин эргитэллэр.,Туох ситими баайарый?,"Тигээйи, Муравей, ооҕуй оҕус, Үөн",ооҕуй оҕус
53,Пицца төгүрүк буолар уонна үксүгэр сыырдаах уонна үрдүгэр баар буолар.,Ханнык ас сырдаах төгүрүк буоларый?,"Килиэп, Пицца, Бөрүөк, Тако",Пицца,Pizza is round and often has cheese and toppings.,What food is round with cheese?,"Bread, Pizza, Cake, Taco",Pizza,Пицца төгүрүк буолар уонна үксүгэр сыырдаах уонна топпиҥнаах буолар.,Ханнык ас сыырдаах уонна төгүрүк буоларый?,"Килиэп, Пицца, Бөрүөк, Тако",Пицца
54,Ачыкы дьон үчүгэйдик көрөрүгэр көмөлөһөр.,Чуолкайдык көрөргө туох көмөлөһөрүй?,"Ачыкы, Бачыыҥкалар, Шляпа, Саарт",Ачыкы,Glasses help people see better.,What helps you see clearly?,"Glasses, Shoes, Hat, Scarf",Glasses,Ачыкы дьон үчүгэйдик көрөрүгэр көмөлөһөр.,Сытыытык көрөргө туох көмөлөһөрүй?,"Ачыкы, Бачыыҥкалар, Шляпа, Саарт",Ачыкы
55,Ардах уонна күн сырдыгын кэнниттэн халлааҥҥа радугалар көстөллөр.,Ардах уонна күн кэнниттэн туох көстөрүй?,"Буурҕа, Туман, Радуга, Былыт",Радуга,Rainbows appear in the sky after rain and sunlight.,What appears after rain and sun?,"Storm, Fog, Rainbow, Cloud",Rainbow,Ардах уонна күн сырдыгын кэнниттэн халлааҥҥа кустуктар көстөллөр.,Ардах уонна күн кэнниттэн туох көстөрүй?,"Буурҕа, Туман, кустук, Былыт",кустук
56,Уот суох кэмигэр лааҕырдар умайаллар уонна сырдыгы биэрэллэр.,Умайар кэмҥэ туох сырдыгы биэрэрий?,"Испиискэ, Чүмэчи, Мас, Факел",Чүмэчи,Candles burn and give light when there is no electricity.,What gives light when burning?,"Match, Candle, Stick, Torch",Candle,Уот суох кэмигэр чүмэчилэр умайаллар уонна сырдыгы биэрэллэр.,Умайдаҕына туох сырдыгы биэрэрий?,"Испиискэ, Чүмэчи, Мас, Факел",Чүмэчи
57,Былыттар үрүҥ эбэтэр сиэрэй буоланнар халлааҥҥа көтөллөр.,Халлааҥҥа туох көтө сылдьарый?,"Сэбирдэх, Көтөр, Былыт, Таас",Былыт,Clouds are white or gray and float in the sky.,What floats in the sky?,"Leaf, Bird, Cloud, Rock",Cloud,Былыттар үрүҥ эбэтэр сиэрэй буоланнар халлааҥҥа тэлээрэ көтөллөр.,Халлааҥҥа туох тэлээрэ көтө сылдьарый?,"Сэбирдэх, Көтөр, Былыт, Таас",Былыт
58,Тыһылар диэн маһы холбуурга туттуллар кыра тимир чаастар.,Маһы туох холбуур?,"Боруобат, Килиэй, Тоһоҕо, Сап",Тоһоҕо,Nails are small metal pieces used to join wood.,What joins pieces of wood?,"Wire, Glue, Nail, String",Nail,Тоһоҕолор диэн маһы холбуурга туттуллар кыра тимир чаастар.,Мас хаптаһыннары туох холбуур?,"Боруобат, Килиэй, Тоһоҕо, Сап",Тоһоҕо
59,Күлүүстэр ааннары хатыырга уонна арыйарга туттуллар.,Бэлиэни арыйарга туох туттулларый?,"Хаартыска, Мас, Күлүүс, Тутаах",Күлүүс,Keys are used to lock and unlock doors.,What is used to open a lock?,"Card, Stick, Key, Handle",Key,Күлүүстэр ааннары хатыырга уонна арыйарга туттуллар.,Сомуогу арыйарга туох туттулларый?,"Хаартыска, Мас, Күлүүс, Тутаах",Күлүүс
60,Тиис щётката тиискин ыраастыырга туттуллар.,Тиис сууйарга туох туттулларый?,"Тараах, Тиис щетката, Соттор, Солуома",Тиис щетката,A toothbrush is used to clean your teeth.,What is used for brushing teeth?,"Comb, Toothbrush, Towel, Straw",Toothbrush,Тиис щётката тиискин ыраастыырга туттуллар.,Тиис суунарга туох туттулларый?,"Тараах, Тиис щетката, Соттор, Солуома",Тиис щетката
61,Зебралар хара уонна маҥан полоскалардаахтар.,Ханнык харамай полоскалаах буолуой?,"Хахай, Зебра, Баабыр, Тулуй",Зебра,Zebras have black and white stripes.,Which animal has stripes?,"Lion, Zebra, Tiger, Bear",Zebra,Зебралар хара уонна маҥан полоскалардаахтар.,Ханнык харамай полоскалаах буоларый?,"Хахай, Зебра, Баабыр, Эһэ",Зебра
62,Виноград үүнэр уонна сииргэ минньигэс.,Ханнык фрукта силбэһиилээхтик үүнэрий?,"Виноград, Дьаабылака, Слива, Груша",Виноград,Grapes grow in bunches and are sweet to eat.,What fruit grows in bunches?,"Grape, Apple, Plum, Pear",Grape,Виноград силбэһиилээхтик үүнэр уонна сииргэ минньигэс.,Ханнык фрукта силбэһиилээхтик үүнэрий?,"Виноград, Дьаабылака, Слива, Груша",Виноград
63,Грузовиктар диэн ыарахан таһаҕаһы таһар улахан массыыналар.,Ыарахан тугу илдьэ сылдьарый?,"Массыына, Грузовик, Велосипед, Тыы",Грузовик,Trucks are large vehicles that carry heavy loads.,What carries heavy things?,"Car, Truck, Bike, Boat",Truck,Грузовиктар диэн ыарахан таһаҕаһы таһар улахан массыыналар.,Туох ыарахан таһаҕаһы тиэйэрий?,"Массыына, Грузовик, Велосипед, Тыы",Грузовик
64,Трап дьон үрдүк сиргэ тахсарыгар көмөлөһөллөр.,Үөһэ тахсарга тугу туһаналларый?,"Кирилиэс, Кирилиэс, Ыскамыайка, Эркин",Кирилиэс,Ladders help people reach high places.,What is used to climb up?,"Stairs, Ladder, Bench, Wall",Ladder,дьоҕус кирилиэс дьон үрдүк сиргэ тахсарыгар көмөлөһөллөр.,Үөһэ тахсарга тугу туһаналларый?,"Кирилиэс, дьоҕус кирилиэс, Ыскамыайка, Эркин",дьоҕус кирилиэс
65,Барабаннар охсуллубуттарыгар улахан тыаһы таһаараллар.,Ханнык инструмены охсоҕун?,"Флейта, Барабан, Арфа, Скрипка",Барабан,Drums make a loud sound when hit.,What instrument do you hit?,"Flute, Drum, Harp, Violin",Drum,Барабаннар охсуллуннахтарына улахан тыаһы таһаараллар.,Ханнык инструмены охсоҕун?,"Флейта, Барабан, Арфа, Скрипка",Барабан
66,Черепахалар бытааннык хамсыыллар уонна кытаанах хаппахтаахтар.,Ханнык кыыл раковиналаах буолуой?,"Баҕа, Ящерица, Черепаха, Куобах",Черепаха,Turtles move slowly and have hard shells.,Which animal has a shell?,"Frog, Lizard, Turtle, Rabbit",Turtle,Черепахалар бытааннык хамсыыллар уонна кытаанах хаппахтаахтар.,Ханнык кыыл раковиналаах буолуой?,"Баҕа, Ящерица, Черепаха, Куобах",Черепаха
67,Сөмөлүөттэр халлааҥҥа үрдүккэ көтөллөр уонна түргэнник айанныыллар.,Халлааҥҥа туох түргэнник көтөрүй?,"Сөмөлүөт, Самолет, Көтөр, Баллон",Самолет,Airplanes fly high in the sky and travel fast.,What flies fast in the sky?,"Helicopter, Plane, Bird, Balloon",Plane,Сөмөлүөттэр халлааҥҥа үрдүккэ көтөллөр уонна түргэнник көтөллөр.,Халлааҥҥа туох түргэнник көтөрүй?,"бөртөлүөт, Сөмөлүөт, Көтөр, Баллон",Самолет
68,Чаһы нүөмэрдээх уонна хамсыыр стрелкалардаах.,Туох илиилээх уонна бириэмэни көрдөрөрүй?,"Хаартыска, Чаһыы, Радио, Көр",Чаһыы,The clock has numbers and moving hands.,What has hands and shows time?,"Map, Clock, Radio, Watch",Clock,Чаһы нүөмэрдээх уонна хамсыыр стрелкалардаах.,Туох стрелкалардаах уонна бириэмэни көрдөрөрүй?,"Хаартыска, Чаһыы, Радио, Илии Чаһыы",Чаһыы
69,Кырааска истиэнэлэргэ уонна искусствоҕа өҥү эбэр туһугар туттуллар.,Эркиннэргэ туох өҥү эбэр?,"Чернила, Ойуулаа, Мел, Кумааҕы",Ойуулаа,Paint is used to add color to walls and art.,What adds color to walls?,"Ink, Paint, Chalk, Paper",Paint,Кырааска истиэнэлэргэ уонна искусствоҕа өҥү эбэр туһугар туттуллар.,Эркиннэргэ туох өҥү эбэр?,"Чернила, Ойуулаа, Мел, Кумааҕы",Ойуулаа
70,Сыр үүттэн оҥоһуллар уонна быһыахха сөп.,Үүттэн тугу оҥороллор уонна кырбаналларый?,"Йогурт, Арыы, Сыыр, Крем",Сыыр,Cheese is made from milk and can be sliced.,What is made from milk and sliced?,"Yogurt, Butter, Cheese, Cream",Cheese,Сыр үүттэн оҥоһуллар уонна быһыахха сөп.,Үүттэн тугу оҥоһуллар уонна быһаҕынан кырбаныан сөп?,"Йогурт, Арыы, Сыыр, Крем",Сыыр
71,Вулканнар лавалаах уонна буруолаах дэлби тэбиллэр.,Лава туох дэлби тэбиитэ буоларый?,"Томтор, Хайа, Вулкан, Хайа хаспаҕа",Вулкан,Volcanoes erupt with lava and smoke.,What erupts with lava?,"Hill, Mountain, Volcano, Cave",Volcano,Вулканнар лавалаах уонна буруолаах дэлби тэбиллэр.,Лава туох дэлби тэбиитэ буоларый?,"Томтор, Хайа, Вулкан, Хайа хаспаҕа",Вулкан
72,Хайчыга диэн кумааҕыны уонна таҥаһы быһарга туттуллар тэрил.,Ханнык тэрил кумааҕыны быһарый?,"Быһах, Уруучука, Кыптыый, Мас",Кыптыый,Scissors are tools used to cut paper and fabric.,What tool cuts paper?,"Knife, Pen, Scissors, Stick",Scissors, Кыптыый диэн кумааҕыны уонна таҥаһы быһарга туттуллар тэрил.,Ханнык тэрил кумааҕыны быһарый?,"Быһах, Уруучука, Кыптыый, Мас",Кыптыый
73,Зебра суолларыгар үрүҥ полосаларынан бэлиэтэммит.,Суолга туох үрүҥ полоскалардаах буолуой?,"Зебра, Илии баттаа, Кроссинг, Переулок",Кроссинг,A zebra crossing is marked with white stripes on roads.,What has white stripes on roads?,"Zebra, Sign, Crossing, Lane",Crossing,Суолу туоруур Зебра суолга үрүҥ полосаларынан бэлиэтэммит.,Суолга туох үрүҥ полоскалардаах буолуой?,"Зебра, Знак, Суол туорааһына, Полоса",Суол туорааһына
74,Кумааҕы мастан оҥоһуллар уонна суруйарга туттуллар.,Сурукка туох туттулларый уонна мастартан тахсарый?,"Пластик, Таҥас, Кумааҕы, Өстүөкүлэ",Кумааҕы,Paper is made from wood and used for writing.,What is used for writing and comes from trees?,"Plastic, Cloth, Paper, Glass",Paper,Кумааҕы мастан оҥоһуллар уонна суруйарга туттуллар.,Сурукка туох туттулларый уонна мастартан оҥоһулларый?,"Пластик, Таҥас, Кумааҕы, Өстүөкүлэ",Кумааҕы
75,Павлиннар араас өҥнөөх түүлээхтэр уонна уһун кутуруктаахтар.,Ханнык кус өҥнөөх түүлээхтэрий?,"Тураах, Павлин, Кус, Хотой",Павлин,Peacocks have colorful feathers and long tails.,Which bird has colorful feathers?,"Crow, Peacock, Duck, Eagle",Peacock,Павлиннар араас өҥнөөх түүлээхтэр уонна уһун кутуруктаахтар.,Ханнык көтөрдөр араас өҥнөөх түүлээхтэрий?,"Тураах, Павлин, Кус, Хотой",Павлин
76,Хайалар диэн сиртэн үрдүккэ тахсар үрдүк сир формалара.,Сиртэн туох үрдүккэ тахсарый?,"Өрүс, Хайа, Хочо, Күөл",Хайа,Mountains are tall landforms that rise high above the ground.,What rises high from the land?,"River, Mountain, Valley, Lake",Mountain,Хайалар диэн сиртэн үрдүккэ тахсар үрдүк сир формалара.,Сиртэн туох үрдүккэ тахсарый?,"Өрүс, Хайа, Хочо, Күөл",Хайа
77,Баҕалар ыраах ыстанан уу аттыгар олоруохтарын сөп.,Уу аттыгар туох ыстанан олороруй?,"Балык, Баҕа, Ыт, Моҕой",Баҕа,Frogs can jump far and live near water.,What jumps and lives near water?,"Fish, Frog, Dog, Snake",Frog,Баҕалар ыраах ыстанан уу аттыгар олоруохтарын сөп.,Уу аттыгар олорор уонна ыстанар тугуй?,"Балык, Баҕа, Ыт, Моҕой",Баҕа
78,Термометр температураны мээрэйдиир.,Ханнык тэрил температураны мээрэйдиирий?,"Чаһыы, Термометр, Шкала, Барометр",Термометр,A thermometer measures temperature.,What tool measures temperature?,"Clock, Thermometer, Scale, Barometer",Thermometer,Термометр температураны мээрэйдиир.,Ханнык тэрил температураны мээрэйдиирий?,"Чаһыы, Термометр, Шкала, Барометр",Термометр
79,Бананнар үрүҥнэр уонна силбэһиилээхтик үүнэллэр.,Ханнык фрукта үрүҥ уонна токурдук буоларый?,"Дьаабылака, Банан, Груша, Слива",Банан,Bananas are yellow and grow in bunches.,Which fruit is yellow and curved?,"Apple, Banana, Pear, Plum",Banana,Бананнар саһархайдар уонна силбэһиилээхтик үүнэллэр.,Ханнык фрукта саһархай уонна токур буоларый?,"Дьаабылака, Банан, Груша, Слива",Банан
80,Плащтар дьону ардах кэмигэр кураанахтык туталлар.,Ардах түстэҕинэ тугу кэтэҕин?,"Сон, Плащ, Сибиитэрэ, Ырбаахы",Плащ,Raincoats keep people dry during rain.,What do you wear when it rains?,"Coat, Raincoat, Sweater, Shirt",Raincoat,Плащтар дьону ардах кэмигэр кураанахтык туталлар.,Ардах түстэҕинэ тугу кэтэҕин?,"Сон, Плащ, Сибиитэрэ, Ырбаахы",Плащ
81,Молот диэн тыҥырах охсорго туттуллар тэриллэр.,Ханнык тэрил тыҥырахха охсоруй?,"Ключ, Молот, Көрдө, Үүттээ",Молот,Hammers are tools used to hit nails.,What tool hits nails?,"Wrench, Hammer, Saw, Drill",Hammer, Балта диэн тоһоҕо охсорго туттуллар тэрил.,Ханнык тэрил тоһоҕону охсоруй?,"Ключ, Балта, Көрдө, Үүттээ",Молот
82,Арыылар арыы оҥороллор уонна уйаҕа олороллор.,Мүөтү туох оҥороруй?,"Сахсырҕа, Тигээйи, Муравей, Оса",Тигээйи,Bees make honey and live in hives.,What makes honey?,"Fly, Bee, Ant, Wasp",Bee,Тигээйилэр Мүөт оҥороллор уонна уйаҕа олороллор.,Мүөтү туох оҥороруй?,"Сахсырҕа, Тигээйи, Муравей, Оса",Тигээйи
83,Кошелек харчыны уонна каарталары тутар.,Харчыны уонна каартаны туох тутар?,"Суумка, Кумааһынньык, Суумка, Хармаан",Кумааһынньык,A wallet holds money and cards.,What holds money and cards?,"Purse, Wallet, Bag, Pocket",Wallet,Кумааһынньык харчыны уонна каарталары тутар.,Харчыны уонна каартаны туох тутар?,"Клатч, Кумааһынньык, Суумка, Хармаан",Кумааһынньык
84,"Пингвиннэр тымныы сиргэ олороллор, көтөр кыахтара суох.",Ханнык кус тымныы сиргэ олороруй?,"Мэкчиргэ, Пингвин, Тураах, Воробей",Пингвин,Penguins live in cold places and cannot fly.,Which bird lives in cold places?,"Owl, Penguin, Crow, Sparrow",Penguin,"Пингвиннэр тымныы сиргэ олороллор, көтөр кыахтара суох.",Ханнык чыычаах тымныы сиргэ олороруй?,"Мэкчиргэ, Пингвин, Тураах, Воробей",Пингвин
85,Ый түүҥҥү халлааҥҥа көстөн сырдыгы эргийэр.,Түүннэри халлааҥҥа туох көстөрүй?,"Күн, Сулус, Ыйдаҥа, Комета",Ыйдаҥа,The moon appears in the night sky and reflects light.,What appears in the night sky?,"Sun, Star, Moon, Comet",Moon,Ый түүҥҥү халлааҥҥа көстөн сырдыгы эргийэр.,Түүннэри халлааҥҥа туох көстөрүй?,"Күн, Сулус, Ый, Комета",Ый
86,Чемодан айаҥҥа таҥаһы илдьэ сылдьарга туттуллар.,Айанныырга таҥаһы туох илдьэ сылдьарый?,"Дьааһык, Чемодан, Хомуот, Корзина",Чемодан,A suitcase is used to carry clothes while traveling.,What carries clothes when traveling?,"Box, Suitcase, Drawer, Basket",Suitcase,Чемодан айаҥҥа таҥаһы илдьэ сылдьарга туттуллар.,Айанныырга таҥаһы туох илдьэ сылдьарый?,"Дьааһык, Чемодан, Хомуот, Корзина",Чемодан
87,Стуллар атахтаахтар уонна олорорго туттуллар.,Туохха олороҕун?,"Остуол, Орон, Олоппос, Дьыбаан",Олоппос,Chairs have legs and are used for sitting.,What do you sit on?,"Table, Bed, Chair, Couch",Chair,Олоппостор атахтаахтар уонна олорорго туттуллаллар.,Туохха олороҕун?,"Остуол, Орон, Олоппос, Дьыбаан",Олоппос
88,Үүт ынахтан тахсар уонна элбэх аһылыкка туттуллар.,Ынах тугу оҥорор?,"Уу, Түү, Үүт, Эт",Үүт,Milk comes from cows and is used in many foods.,What do cows produce?,"Water, Wool, Milk, Meat",Milk,Үүт ынахтан тахсар уонна элбэх аһылыкка туттуллар.,Ынах тугу оҥорор?,"Уу, Түү, Үүт, Эт",Үүт
89,Клавиатураҕа баар клавишалары буукубалары суруйарга тутталлар.,Буукубалары тугунан суруйаҕын?,"Кутуйах, Уруучука, Клавиатура, Монитор",Клавиатура,Keys on a keyboard are used to type letters.,What do you use to type letters?,"Mouse, Pen, Keyboard, Monitor",Keyboard,Клавиатураҕа баар клавишалары буукубалары суруйарга тутталлар.,буукубалары суруйаары тугунан туттаҕын?,"Кутуйах, Уруучука, Клавиатура, Монитор",Клавиатура
90,Уу уонна чэй курдук уу иһэргэ ыскааптары тутталлар.,Чэйи тугунан иһэҕин?,"Бытыылка, Тэриэлкэ, Чааскы, Биилкэ",Чааскы,Cups are used to drink liquids like water and tea.,What do you use to drink tea?,"Bottle, Plate, Cup, Fork",Cup,Уу уонна чэй курдук убаҕастары иһэргэ чааскылары тутталлар.,Чэйи хантан иһэҕин?,"Бытыылка, Тэриэлкэ, Чааскы, Биилкэ",Чааскы
91,Күн Сиргэ сылааһы уонна сырдыгы биэрэр.,Сиргэ сылааһы туох биэрэрий?,"Сулус, Күн, Ыйдаҥа, Планета",Күн,The sun gives heat and light to the Earth.,What gives heat to Earth?,"Star, Sun, Moon, Planet",Sun,Күн Сир Шаарыгар сылааһы уонна сырдыгы биэрэр.,Сир Шаарыгар сылааһы туох биэрэрий?,"Сулус, Күн, Ыйдаҥа, Планета",Күн
92,Зонтик ардаҕы хааччахтыыр уонна дьону кураанах тутар.,Ардахха туох эйигин кураанах тутар?,"Шляпа, Зонтик, Соттор, Сон",Зонтик,An umbrella blocks rain and keeps people dry.,What keeps you dry in rain?,"Hat, Umbrella, Towel, Coat",Umbrella,Зонтик ардаҕы хааччахтыыр уонна дьону кураанах тутар.,Ардахха туох эйигин кураанах тутар?,"Шляпа, Зонтик, Соттор, Сон",Зонтик
93,Стоматолог тиискин доруобай тутарга көмөлөһөр.,Тиискин ким бэрэбиэркэлиирий?,"Эмчит, Медсиэстирэ, Тиис бырааһа, Шеф-повар",Тиис бырааһа,The dentist helps keep your teeth healthy.,Who checks your teeth?,"Doctor, Nurse, Dentist, Chef",Dentist,Тиис бырааһа тиискин доруобай тутарга көмөлөһөр.,Тиискин ким бэрэбиэркэлиирий?,"Эмчит, Медсиэстирэ, Тиис бырааһа, Шеф-повар",Тиис бырааһа
94,"Бибилэтиэкэ диэн ааҕар, кинигэ ылар сир.",Хантан кинигэ ылыахха сөбүй?,"Кинигэ маҕаһыына, Библиотека, Оскуола, Офис",Библиотека,The library is a place to read and borrow books.,Where can you borrow books?,"Bookstore, Library, School, Office",Library,"Бибилэтиэкэ диэн ааҕар, кинигэ ылар сир.",Хантан кинигэ уларсыахха сөбүй?,"Кинигэ маҕаһыына, Библиотека, Оскуола, Офис",Библиотека
95,Чаһы башнята улахан уопсастыбаннай сирдэргэ бириэмэни көрдөрөр.,Куорат болуоссаттарыгар бириэмэни туох көрдөрөрүй?,"Ыстаатыйа, Чаһыы, Лаампа, Колокольчик",Чаһыы,A clock tower shows the time in large public areas.,What shows time in town squares?,"Statue, Clock, Lamp, Bell",Clock,Чаһыы башнята улахан уопсастыбаннай сирдэргэ бириэмэни көрдөрөр.,Куорат болуоссаттарыгар бириэмэни туох көрдөрөрүй?,"Ыстаатыйа, Чаһыы башнята, Лаампа, Колокольчик",Чаһыы башнята
96,Свисток тыаһаатаҕына улахан тыаһы таһаарар.,Туох тыас таһаарарый?,"Муос, Иһиир, Барабан, Сирена",Иһиир,A whistle makes a loud sound when blown.,What makes a sound when blown?,"Horn, Whistle, Drum, Siren",Whistle,Иһиир тыаһаатаҕына улахан тыаһы таһаарар.,Үрдэххэ туох тыас таһаарарый?,"Муос, Иһиир, Барабан, Сирена",Иһиир
97,Кистэлэҥнэр сир үрдүгэр кыраасканы уурарга туттуллар.,Кыраасканы туох тарҕатар?,"Уруучука, Ролик, Суокка, Губка",Суокка,Paintbrushes are used to apply paint to surfaces.,What spreads paint?,"Pen, Roller, Brush, Sponge",Brush,Киистэлэр кырааскалыырга туттуллаллар.,Кыраасканы туох тарҕатар?,"Уруучука, Ролик, Киистэ, Губка",Киистэ
98,Компас хоту уонна соҕуруу курдук хайысхалары буларга туттуллар.,Ханнык тэрил хайысханы буларга көмөлөһөрүй?,"Хаартыска, Компас, GPS, Чаһыы",Компас,A compass is used to find directions like north and south.,What tool helps you find directions?,"Map, Compass, GPS, Clock",Compass,Компас хоту уонна соҕуруу курдук хайысхалары буларга туттуллар.,Ханнык тэрил хайысханы буларга көмөлөһөрүй?,"Хаартыска, Компас, GPS, Чаһыы",Компас
99,Рюкзак кинигэлэри уонна тэриллэри илдьэ сылдьарга туттуллар.,Оскуола тэриллэрин тиэйэргэ туох туттулларый?,"Суумка, Рюкзак, Чемодан, Корзина",Рюкзак,A backpack is used to carry books and supplies.,What is used to carry school supplies?,"Bag, Backpack, Suitcase, Basket",Backpack,Рюкзак кинигэлэри уонна тэриллэри илдьэ сылдьарга туттуллар.,Оскуола тэриллэрин тиэйэргэ туох туттулларый?,"Суумка, Рюкзак, Чемодан, Корзина",Рюкзак
100,Хараҥаҕа көрөргө фонарик туттуллар.,Хараҥаҕа көрөргө туох көмөлөһөрүй?,"Лаампа, Фонарик, Чүмэчи, Сиэркилэ",Фонарик,A flashlight is used to see in the dark.,What helps you see in the dark?,"Lamp, Flashlight, Candle, Mirror",Flashlight,Хараҥаҕа көрөргө фонарик туттуллар.,Хараҥаҕа көрөргө туох көмөлөһөрүй?,"Лаампа, Фонарик, Чүмэчи, Сиэркилэ",Фонарик